Table: Nth day - Active users
como-anadir-urls-externas-a-las-imagenes-destacadas-en-wordpress,1
csv_importer_free,1
csv_importer_free_plugin_troubleshoot,1
email_customizer,1
how-to-prepare-woocommerce-for-high-traffic,1
import-and-export-wordpress-users,1
import_woocommerce,1
lead_builder_free,1
march,1
modulos-de-importacion-csv-definitivos-de-wordpress,1
offer,1
readme,1
woocommerce-variable-pricing-calculator,1

Table: Landing page + query string - Organic Google Search impressions
No data

Table: Organic Google Search query - Organic Google Search clicks
No data

Table: Session manual source - Sessions
sessionSource,sessions
(direct),186
(not set),103
google,61
(data not available),60
rss,9
wordpress,7
external_site,5
in.search.yahoo.com,5
website,5
yahoo,3
yandex.ru,3
bing,2
homebrasilia.com.br,2
mmd24-26.isme-35-edu.net,2
wordpress_org,2
wpfloor,2
192.168.10.250:8888,1
csv_importer_free_plugin,1
dealspotr.com,1
djlightingdiscount.com,1
fonipeiraioton.gr,1
fr.wordpress.org,1
gemini.google.com,1
identity.co.uk,1
jingmu.xyz,1
kyoto-be.ne.jp,1
marketplace,1
medium,1
plugin,1
rankmath,1
readme,1
sputnik,1
wordpress.org,1
worldpressit.com,1
wp.mayer-motorgeraete.de,1
wpdemo.net,1
ya.ru,1

