country,clicks,impressions,ctr,position,errors
nzl,0,46,0.0,8.521739130434781,
srb,0,44,0.0,6.863636363636363,
tto,0,42,0.0,6.857142857142857,
fin,1,41,0.024390243902439,14.951219512195122,
ltu,2,40,0.05,6.95,
irq,0,39,0.0,16.48717948717949,
bol,0,37,0.0,13.45945945945946,
dom,0,36,0.0,8.694444444444445,
tun,0,35,0.0,5.314285714285714,
gha,1,33,0.0303030303030303,3.9696969696969697,
jam,0,31,0.0,6.612903225806452,
npl,0,30,0.0,5.366666666666666,
lbn,1,26,0.0384615384615384,7.423076923076923,
alb,0,26,0.0,5.769230769230769,
cri,0,26,0.0,8.346153846153847,
eth,0,26,0.0,6.038461538461538,
jor,0,26,0.0,10.153846153846152,
pri,0,26,0.0,6.153846153846154,
blr,1,25,0.04,12.84,
cyp,1,25,0.04,7.2,
gtm,0,24,0.0,9.708333333333334,
chn,1,23,0.0434782608695652,12.043478260869565,
lva,1,23,0.0434782608695652,4.434782608695652,
pan,0,23,0.0,13.869565217391305,
bih,0,22,0.0,16.31818181818182,
svn,0,22,0.0,6.681818181818182,
uga,0,22,0.0,4.590909090909091,
slv,0,20,0.0,13.85,
ury,0,20,0.0,9.05,
khm,0,18,0.0,13.22222222222222,
bhs,0,17,0.0,6.411764705882353,
kaz,0,17,0.0,10.470588235294118,
mmr,0,17,0.0,8.823529411764707,
brb,0,16,0.0,5.625,
omn,0,16,0.0,7.8125,
aze,0,15,0.0,8.333333333333332,
cmr,0,15,0.0,4.933333333333334,
sen,0,15,0.0,5.933333333333334,
lux,0,14,0.0,5.428571428571429,
mda,0,14,0.0,7.571428571428571,
mlt,0,14,0.0,8.214285714285715,
qat,0,14,0.0,5.142857142857143,
tza,0,14,0.0,2.071428571428571,
hnd,1,13,0.0769230769230769,16.923076923076923,
pry,0,13,0.0,6.6923076923076925,
uzb,0,13,0.0,5.307692307692308,
lby,1,12,0.0833333333333333,12.333333333333334,
est,0,12,0.0,8.5,
rwa,0,12,0.0,6.5,
zwe,0,12,0.0,3.083333333333333,
arm,0,11,0.0,4.636363636363637,
kwt,0,11,0.0,13.181818181818182,
mdg,0,11,0.0,3.272727272727273,
nic,0,10,0.0,6.7,
ago,0,9,0.0,14.0,
mwi,0,9,0.0,5.222222222222222,
yem,0,9,0.0,4.666666666666666,
civ,0,8,0.0,6.25,
blz,0,7,0.0,5.571428571428571,
geo,0,7,0.0,5.571428571428571,
guy,0,7,0.0,10.0,
syr,0,7,0.0,7.857142857142857,
zmb,1,6,0.1666666666666666,2.166666666666667,
atg,0,6,0.0,8.333333333333332,
bhr,0,6,0.0,8.666666666666668,
mkd,0,6,0.0,3.6666666666666665,
vir,0,6,0.0,5.333333333333333,
isl,1,5,0.2,6.4,
kgz,0,5,0.0,12.2,
lca,0,5,0.0,8.6,
mne,0,5,0.0,3.8,
mng,0,5,0.0,5.2,
nam,0,5,0.0,4.2,
syc,0,5,0.0,10.0,
xkk,0,5,0.0,6.0,
brn,0,4,0.0,40.25,
cod,0,4,0.0,1.25,
cub,0,4,0.0,14.25,
mdv,0,4,0.0,3.5,
mus,0,4,0.0,8.75,
pse,0,4,0.0,33.75,
gnq,1,3,0.3333333333333333,4.666666666666666,
bes,0,3,0.0,3.6666666666666665,
gab,0,3,0.0,9.333333333333334,
gum,0,3,0.0,3.0,
imn,0,3,0.0,6.666666666666667,
sxm,0,3,0.0,5.0,
afg,0,2,0.0,8.0,
and,0,2,0.0,5.5,
ben,0,2,0.0,42.0,
btn,0,2,0.0,42.0,
bwa,0,2,0.0,1.0,
cym,0,2,0.0,6.5,
fji,0,2,0.0,6.0,
jey,0,2,0.0,6.0,
lao,0,2,0.0,4.5,
lie,0,2,0.0,7.0,
mli,0,2,0.0,9.5,
png,0,2,0.0,4.5,
reu,0,2,0.0,3.0,
sle,0,2,0.0,2.5,
ala,0,1,0.0,14.0,
bmu,0,1,0.0,4.0,
cog,0,1,0.0,7.0,
cok,0,1,0.0,1.0,
cpv,0,1,0.0,1.0,
cuw,0,1,0.0,2.0,
dma,0,1,0.0,3.0,
fro,0,1,0.0,4.0,
gmb,0,1,0.0,2.0,
grd,0,1,0.0,9.0,
guf,0,1,0.0,20.0,
kna,0,1,0.0,10.0,
moz,0,1,0.0,4.0,
mrt,0,1,0.0,2.0,
pyf,0,1,0.0,2.0,
sdn,0,1,0.0,7.0,
som,0,1,0.0,1.0,
ssd,0,1,0.0,1.0,
sur,0,1,0.0,1.0,
swz,0,1,0.0,1.0,
tca,0,1,0.0,4.0,
tcd,0,1,0.0,1.0,
tjk,0,1,0.0,9.0,
tls,0,1,0.0,1.0,
vct,0,1,0.0,3.0,
vgb,0,1,0.0,6.0,
vut,0,1,0.0,9.0,
wsm,0,1,0.0,8.0,
